Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
GLUTARIC ACIDEMIA I,Glutaric Acidemia I,D08.811.682.660.425,C16.320.565.100,C18.452.648.100,C10.228.140.163,C18.452.132,,,,,,,,,,,,,,,,,"An autosomal recessive metabolic disorder characterized by GLIOSIS and neuronal loss in the BASAL GANGLIA, as well as a progressive movement disorder that usually begins during the first year of life. Germline mutations in the GCDH gene have been identified. OMIM: 231670","Glutaryl-CoA Dehydrogenase/*deficiency;*Amino Acid Metabolism, Inborn Errors;*Brain Diseases, Metabolic"
GLUTARIC ACIDURIA III,Glutaric Aciduria III,C16.320.565.100,C18.452.648.100,D08.811.682,,,,,,,,,,,,,,,,,,,,"*Amino Acid Metabolism, Inborn Errors;Oxidoreductases/*deficiency"
"GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO","Glutathione Synthetase Deficiency of Erythrocytes, Hemolytic Anemia due to",D08.811.464.259.850.500,C15.378.071.141,,,,,,,,,,,,,,,,,,,,,"Glutathione Synthase/*deficiency;*Anemia, Hemolytic"
GLYCOGEN STORAGE DISEASE I,,,,,,,,,,,,,,,,,,,,,,,,
GLYCOGEN STORAGE DISEASE Ib,Glycogen Storage Disease IB,C16.320.565.202.449.448,C18.452.648.202.449.448,,,,,,,,,,,,,,,,,,,,"A hereditary autosomal recessive type I glycogen storage disease caused by mutation in the SLC37A4 gene and characterized by short stature, a protruding abdomen, HEPATOMEGALY; NEUTROPENIA and recurrent BACTERIAL INFECTIONS. OMIM: 232220",*Glycogen Storage Disease Type I
GLYCOGEN STORAGE DISEASE Ic,Glycogen Storage Disease IC,C16.320.565.202.449,C18.452.648.202.449,,,,,,,,,,,,,,,,,,,,,*Glycogen Storage Disease
GLYCOGEN STORAGE DISEASE IV,,,,,,,,,,,,,,,,,,,,,,,,
GLYCOGEN STORAGE DISEASE VI,,,,,,,,,,,,,,,,,,,,,,,,
OVARIAN DYSGENESIS 1,,,,,,,,,,,,,,,,,,,,,,,,
PERRAULT SYNDROME,Gonadal dysgenesis XX type deafness,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C12.706.316.064.249,C12.706.316.309.193,C13.351.875.253.064.249,C13.351.875.253.309.193,C16.131.939.316.064.249,C16.131.939.316.309.193,C19.391.119.064.249,C19.391.119.309.193,,,,,,,,,,,,"*Hearing Loss, Sensorineural;*Gonadal Dysgenesis, 46,XX"
"46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, DHH-RELATED","46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",C12.706.316.096.687,C12.706.316.309.388,C13.351.875.253.096.687,C13.351.875.253.309.388,C16.131.939.316.096.687,C16.131.939.316.309.388,C19.391.119.096.687,C19.391.119.309.388,,,,,,,,,,,,,,,"*Gonadal Dysgenesis, 46,XY"
COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS,Combined Cellular And Humoral Immune Defects With Granulomas,C16.614.815,C18.452.284.800,C20.673.815,C15.378.553.774.535,C16.320.322.233,C20.673.774.535,,,,,,,,,,,,,,,,,"*Severe Combined Immunodeficiency;*Granulomatous Disease, Chronic"
"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-NEGATIVE","Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative",C15.378.553.774.535,C16.320.322.233,C20.673.774.535,D08.811.682.608.575,D12.776.331.894,,,,,,,,,,,,,,,,,mutation in CYBA,"*Granulomatous Disease, Chronic;NADPH Oxidase/*deficiency"
"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE I","Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type
 I",C15.378.553.774.535,C16.320.322.233,C20.673.774.535,D08.811.682.608.575,D12.776.331.894,,,,,,,,,,,,,,,,,mutation in NCF1,"*Granulomatous Disease, Chronic;NADPH Oxidase/*deficiency"
"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE II","Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type
 II",C15.378.553.774.535,C16.320.322.233,C20.673.774.535,D08.811.682.608.575,D12.776.331.894,,,,,,,,,,,,,,,,,mutation in NCF2,"*Granulomatous Disease, Chronic;NADPH Oxidase/*deficiency"
"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B","Hyperphenylalaninemia, BH4-Deficient, B",C10.228.140.163.100.687,C16.320.565.100.766,C16.320.565.189.687,C18.452.132.100.687,C18.452.648.100.766,C18.452.648.189.687,,,,,,,,,,,,,,,,mutation in GCH1,*Phenylketonurias
"PULMONARY VENOOCCLUSIVE DISEASE 2, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME,Hennekam lymphangiectasia lymphedema syndrome,C15.604.496,C15.604.360.500,C15.604.451.500,C16.131.482.500,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,"A hereditary autosomal recessive disorder characterized by generalized lymphatic dysplasia affecting various organs, including the INTESTINAL TRACT; PERICARDIUM; and limbs. Additional features may include facial dysmorphism, cognitive impairment, and CRYPTORCHIDISM in affected males. Mutations in the CCBE1 gene have been identified. OMIM: 235510","*Lymphedema;*Lymphangiectasis, Intestinal;*Craniofacial Abnormalities"
HEPATIC VENOOCCLUSIVE DISEASE WITH IMMUNODEFICIENCY,Hepatic venoocclusive disease with immunodeficiency,C06.552.360,C14.907.460,C20.673,,,,,,,,,,,,,,,,,,,,*Hepatic Veno-Occlusive Disease;*Immunologic Deficiency Syndromes
"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2","Bile acid synthesis defect, congenital, 2",C16.320.565.925,C18.452.648.925,D08.811.682,C06.130.120.135,,,,,,,,,,,,,,,,,,,"*Steroid Metabolism, Inborn Errors;Oxidoreductases/*deficiency;*Cholestasis"
HEXOKINASE DEFICIENCY HEMOLYTIC ANEMIA,Hexokinase Deficiency Hemolytic Anemia,D08.811.913.696.620.300,C15.378.071.141,,,,,,,,,,,,,,,,,,,,,"Hexokinase/*deficiency;*Anemia, Hemolytic"
MOWAT-WILSON SYNDROME,Mowat-Wilson syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C23.550.291.812,E01.370.600.230,C06.198.439,C06.405.469.158.701.439,C16.131.314.439,,,,,,,,,"A rare developmental disorder that occurs in 1 in 50,000-70,000 births. The most severe cases are characterized by intellectual disability, delayed motor development, EPILEPSY, and a wide spectrum of clinically heterogeneous features suggestive of neurocristopathies at the cephalic, cardiac, and vagal levels. De novo autosomal dominant mutations in the ZEB2 gene have been identified. OMIM: 235730",*Intellectual Disability;*Microcephaly;*Facies;*Hirschsprung Disease
HISTIDINEMIA,Histidinemia,C16.320.565.100,C18.452.648.100,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,D08.811.520.232.400.500,,,,,,,,,,,,,,,,"*Amino Acid Metabolism, Inborn Errors;*Intellectual Disability;Histidine Ammonia-Lyase/*deficiency"
HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,
"HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY",,,,,,,,,,,,,,,,,,,,,,,,
"HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA DUE TO DEFECT IN COBALAMIN METABOLISM, cblE COMPLEMENTATION TYPE","Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE
 Complementation Type",C10.228.140.163.100.365,C16.320.565.100.480.500,C16.320.565.189.365,C17.300.428,C18.452.132.100.365,C18.452.648.100.480.500,C18.452.648.189.365,C15.378.071.252.196,,,,,,,,,,,,,,,"*Homocystinuria;*Anemia, Megaloblastic"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1",Walker-Warburg Syndrome,C10.500.507.450.499.249.500,C11.270.881,C16.131.666.507.450.499.249.500,C16.320.577.750,,,,,,,,,,,,,,,,,,"Rare autosomal recessive lissencephaly type 2 associated with congenital 
MUSCULAR DYSTROPHY and eye anomalies (e.g., 
RETINAL DETACHMENT; 
CATARACT; 
MICROPHTHALMOS). It is often associated with additional brain malformations such as 
HYDROCEPHALY and cerebellar hypoplasia and is the most severe form of the group of related syndromes (alpha-dystroglycanopathies) with common congenital abnormalities in the brain, eye and muscle development.;2011",
HYDROLETHALUS SYNDROME 1,Hydrolethalus Syndrome 1,A08.186,C10.228.140.602,C05.660.585.600,C16.131.621.585.600,,,,,,,,,,,,,,,,,,mutation in HYLS1,Central Nervous System/*abnormalities;*Hydrocephalus;*Polydactyly
MCKUSICK-KAUFMAN SYNDROME,McKusick Kaufman syndrome,C14.240.400,C14.280.400,C16.131.240.400,C05.660.585.600,C16.131.621.585.600,C13.351.500.852,C13.351.500.894.500,C16.131.077,,,,,,,,,,,,,,"A hereditary autosomal recessive disorder characterized by genitourinary malformations, especially hydrocolpos, polydactyly, and, more rarely, heart or gastrointestinal malformations. Mutations in the MKKS gene have been identified. OMIM: 236700","*Heart Defects, Congenital;*Polydactyly;*Uterine Diseases;*Hydrocolpos;*Abnormalities, Multiple"
UROFACIAL SYNDROME,Urofacial syndrome,C23.550.291.812,E01.370.600.230,C12.777,C13.351.968,,,,,,,,,,,,,,,,,,"A rare autosomal recessive disease characterized by a severe and early-onset form of dysfunctional urinary voiding. Affected individuals usually present prenatally or in early childhood with dysmorphic BLADDERS and dilatation of the URETER and RENAL PELVIS. They are at high risk of  VESICO-URETERAL REFLUX and may also experience CONSTIPATION or ENCOPRESIS. In addition, affected individuals have a characteristic facial grimace when trying to smile. Mutations in the HPSE2 gene have been identified. OMIM: 236730",*Facies;*Urologic Diseases
L-2-HYDROXYGLUTARIC ACIDURIA,2-Hydroxyglutaricaciduria,C10.228.140.163.100,C16.320.565.189,C18.452.132.100,C18.452.648.189,,,,,,,,,,,,,,,,,,"Hereditary neurometabolic disorders characterized by DEVELOPMENTAL DELAY; EPILEPSY; HYPOTONIA, and dysmorphic features. Severe cases of D2HGA are homogeneous and are characterized by early infantile-onset epileptic encephalopathy and, CARDIOMYOPATHY. The mild phenotype has a more variable clinical presentation. In L2HGA, patients may also present with ATAXIA; MEGALENCEPHALY, and speech difficulties and the condition deteriorates over time. Mutations in the D2HGDH gene have been identified for D2HGA (OMIM: 600721) and the L2HGDH gene for L2HGA (OMIM: 236792).","*Brain Diseases, Metabolic, Inborn"
HYDROXYKYNURENINURIA,Hydroxykynureninuria,D08.811.277,C16.320.565.100,C18.452.648.100,D12.125.608,,,,,,,,,,,,,,,,,,,"Hydrolases/*deficiency;*Amino Acid Metabolism, Inborn Errors;Kynurenine"
N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY,N-acetyl glutamate synthetase deficiency,D08.811.913.050.134.105,C10.228.140.163.100.937,C16.320.565.100.940,C16.320.565.189.937,C18.452.132.100.937,C18.452.648.100.940,C18.452.648.189.937,,,,,,,,,,,,,,,,"Amino-Acid N-Acetyltransferase;*Urea Cycle Disorders, Inborn"
"LEYDIG CELL HYPOPLASIA, TYPE I",Leydig Cell Hypoplasia,A05.360.444.849,A05.360.576.782,A06.407.312.782,C12.706.316.096,C13.351.875.253.096,C16.131.939.316.096,C19.391.119.096,,,,,,,,,,,,,,,mutation in LHCGR,"Testis/*abnormalities;*46, XY Disorders of Sex Development"
HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME,HHH syndrome,D12.125.068.665,D12.125.095.765,C23.550.421,C10.228.140.163.100.937,C16.320.565.100.940,C16.320.565.189.937,C18.452.132.100.937,C18.452.648.100.940,C18.452.648.189.937,,,,,,,,,,,,,,"Ornithine/*deficiency;*Hyperammonemia;*Urea Cycle Disorders, Inborn"
"PAGET DISEASE, JUVENILE",,,,,,,,,,,,,,,,,,,,,,,,
HYPERPHOSPHATASIA WITH MENTAL RETARDATION,Hyperphosphatasia with Mental Retardation,C18.452.750,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C16.131.077,,,,,,,,,,,,,,,,,"*Phosphorus Metabolism Disorders;*Intellectual Disability;*Abnormalities, Multiple"
"HYPERPROLINEMIA, TYPE I",,,,,,,,,,,,,,,,,,,,,,,,
"HYPERPROLINEMIA, TYPE II",Hyperprolinemia type 2,C16.320.565.100,C18.452.648.100,D08.811.682.662.693,,,,,,,,,,,,,,,,,,,,"*Amino Acid Metabolism, Inborn Errors;1-Pyrroline-5-Carboxylate Dehydrogenase/*deficiency"
CANTU SYNDROME,Cantu syndrome,C14.280.195,C23.300.775.250,C17.800.329.875,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,"A rare hereditary autosomal dominant disorder characterized by congenital hypertrichosis, FETAL MACROSOMIA, a distinct osteochondrodysplasia, and cardiomegaly; additional HEART ABNORMALITIES are present in approximately 80% of cases. Motor development is usually delayed due to HYPOTONIA, most patients have a mild SPEECH DELAY, and a small percentage have LEARNING DISORDERS or INTELLECTUAL DISABILITY. Mutations in the ABCC9 gene have been identified. OMIM: 239850",*Cardiomegaly;*Hypertrichosis;*Osteochondrodysplasias
"AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I",,,,,,,,,,,,,,,,,,,,,,,,
"GLYCOGEN STORAGE DISEASE 0, LIVER","Glycogen Storage Disease 0, Liver",C16.320.565.202.449,C18.452.648.202.449,C06.552,,,,,,,,,,,,,,,,,,,,*Glycogen Storage Disease;*Liver Diseases
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME,Hypoparathyroidism-retardation-dysmorphism syndrome,C23.550.393,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C19.642.482,C10.228.140.490.631,C10.597.742,C23.888.592.742,C05.116.099.708,C16.320.728,C16.131.077,,,,,,,,,,"Hypoparathyroidism short stature mental retardation seizures retardation, and developmental delay","*Growth Disorders;*Intellectual Disability;*Hypoparathyroidism;*Seizures;*Osteochondrodysplasias;*Abnormalities, Multiple"
"HYPOPHOSPHATEMIC RICKETS WITH HYPERCALCIURIA, HEREDITARY","Hypophosphatemic Rickets with Hypercalciuria, Hereditary",C23.888.942.337,C05.116.198.816.875.500,C12.777.419.815.647.500,C13.351.968.419.815.647.500,C16.320.565.618.544.500,C16.320.565.861.647.500,C18.452.174.845.875.500,C18.452.648.618.544.500,C18.452.648.861.647.500,C18.452.750.400.500.500,C18.452.750.400.750.500,C18.654.521.500.133.770.734.875.500,,,,,,,,,,,*Hypercalciuria;*Familial Hypophosphatemic Rickets
HYPOTHALAMIC HAMARTOMAS,Hypothalamic hamartomas,C10.228.140.617,C04.445,,,,,,,,,,,,,,,,,,,,Hamartomas that occur in the HYPOTHALAMUS. Hypothalamic hamartoma syndrome is a CONGENITAL DISORDER that results in various growth and neurologic abnormalities and is usually lethal within the first month after birth. Chromosomal abnormalities involving the GLI3 gene have been identified. OMIM: 241800,*Hypothalamic Diseases;*Hamartoma
"ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1","Ichthyosiform erythroderma, Brocq congenital, nonbullous form",C16.131.831.512.400.410,C16.320.850.400.410,C16.614.492.400.410,C17.800.428.333.250.410,C17.800.804.512.400.410,C17.800.827.400.410,,,,,,,,,,,,,,,,,"*Ichthyosis, Lamellar"
IMINOGLYCINURIA,Iminoglycinuria,C12.777.419.815,C13.351.968.419.815,C16.320.565.861,C18.452.648.861,D12.125.481,,,,,,,,,,,,,,,,,,"*Renal Tubular Transport, Inborn Errors;Glycine/*urine"
"IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM",,,,,,,,,,,,,,,,,,,,,,,,
IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME,"Immunodeficiency syndrome, variable",C20.673,A01.456.505,,,,,,,,,,,,,,,,,,,,"A rare autosomal recessive disorder characterized by facial abnormalities, immunoglobulin deficiency, and branching of chromosomes 1, 9, and 16 after PHYTOHEMAGGLUTININ stimulation of LYMPHOCYTES.  Hypomethylation of DNA of a small fraction of the genome is an unusual feature of ICF patients that is explained by mutations in the DNMT3B gene in some, but not all,cases. OMIM: 242860",*Immunologic Deficiency Syndromes;Face/*abnormalities
"IMMUNOOSSEOUS DYSPLASIA, SCHIMKE TYPE",Schimke immunoosseous dysplasia,C14.907.137.126,C12.777.419.630.643,C13.351.968.419.630.643,C20.673,C05.116.099.708,C16.320.728,C08.381.746,C14.907.355.350.700,,,,,,,,,,,,,,"A hereditary autosomal recessive disorder characterized by growth and skeletal abnormalities, hyperpigmented skin areas, kidney disease, and immune deficiency; arteriosclerosis may also occur in some cases. Mutations in the SMARCAL1 gene have been identified. OMIM: 242900",*Arteriosclerosis;*Nephrotic Syndrome;*Immunologic Deficiency Syndromes;*Osteochondrodysplasias;*Pulmonary Embolism
"INDIFFERENCE TO PAIN, CONGENITAL, AUTOSOMAL RECESSIVE","Indifference to Pain, Congenital, Autosomal Recessive",C10.668.829.700,C16.320.775,C23.550.177,,,,,,,,,,,,,,,,,,,,"*Pain Insensitivity, Congenital;*Channelopathies"
SPERMATOGENIC FAILURE 5,,,,,,,,,,,,,,,,,,,,,,,,
"IRIS COLOBOMA WITH PTOSIS, HYPERTELORISM, AND MENTAL RETARDATION","Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation",C11.338.204,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,A09.371.060.450,A09.371.894.513,C11.250.110,C16.131.384.282,,,,,,,,,,,,,mutation in ACTB gene; also listed as Baraitser Winter Syndrome 1,*Blepharoptosis;*Intellectual Disability;Iris/*abnormalities;*Coloboma
ISOVALERIC ACIDEMIA,"Acidemia, isovaleric",D08.811.682.660.462,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,"A rare. hereditary, autosomal recessive metabolic disorder. Two forms of isovaleric acidemia, possibly allelic, are recognized: the acute neonatal form, leading to massive ACIDOSIS and rapid death in the first days of life, and a chronic form in which periodic attacks of severe KETOSIS occur with asymptomatic intervening periods. Mutations in the IVD gene have been identified. OMIM: 243500","Isovaleryl-CoA Dehydrogenase/*deficiency;*Amino Acid Metabolism, Inborn Errors"
JEJUNAL ATRESIA WITH MICROCEPHALY AND OCULAR ANOMALIES,Jejunal Atresia with Microcephaly and Ocular Anomalies,C06.198.719,C06.405.469.445,C16.131.314.466,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C11.250,C16.131.384,,,,,,,,,,,,,,*Intestinal Atresia;*Microcephaly;*Eye Abnormalities
"HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL RECESSIVE",Job Syndrome,C15.378.553.774.600,C20.673.774.600,,,,,,,,,,,,,,,,,,,,"Primary immunodeficiency syndrome characterized by recurrent infections and hyperimmunoglobulinemia E. Most cases are sporadic. Of the rare familial forms, the dominantly inherited subtype has additional connective tissue, dental and skeletal involvement that the recessive type does not share.;2014 (1975);use PHAGOCYTE BACTERICIDAL DYSFUNCTION 1975-1990",
JOHANSON-BLIZZARD SYNDROME,Johanson Blizzard syndrome,C23.550.393,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C19.874.482,A01.456.505.733,A04.531,A09.531,C06.689,C16.131.077.350,C16.131.831.350,C16.320.850.250,C17.800.804.350,C17.800.827.250,C06.198.050,C16.131.314.094,,"A hereditary autosomal recessive disorder characterized by poor growth, intellectual disability, and variable dysmorphic features, including nasal alae abnormalities, abnormal hair patterns or scalp defects, ANODNOTIA. Affected individuals may also have hypothyroidism, sensorineural hearing loss, imperforate anus, and pancreatic exocrine insufficiency. Mutations in the UBR1 gene have been identified. OMIM: 243800","*Growth Disorders;*Intellectual Disability;*Hearing Loss, Sensorineural;*Hypothyroidism;Nose/*abnormalities;*Pancreatic Diseases;*Ectodermal Dysplasia;*Anus, Imperforate"
KAUFMAN OCULOCEREBROFACIAL SYNDROME,Kaufman oculocerebrofacial syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C05.660.585,C16.131.621.585,C23.550.291.812,E01.370.600.230,C11.250,C16.131.384,,,,,,,,"Severe mental retardation, microcephaly, long narrow face, ocular anomalies, and long thin hands and feet","*Intellectual Disability;*Microcephaly;*Limb Deformities, Congenital;*Facies;*Eye Abnormalities"
"KENNY-CAFFEY SYNDROME, TYPE 1","Kenny-Caffey syndrome, Type 1",C05.116.099.708.479,C05.116.540.400,C16.614.465,,,,,,,,,,,,,,,,,,,,"*Hyperostosis, Cortical, Congenital"
HAIM-MUNK SYNDROME,Keratosis palmoplantaris with periodontopathia and onychogryposis,C05.116.099.052,C05.116.264.579.052,C16.320.850.475.600,C17.800.428.435.600,C17.800.827.475.600,,,,,,,,,,,,,,,,,"Rare autosomal recessive disorder characterized by congenital PALMOPLANTAR KERATOSIS, flatfoot, onychogryphosis, PERIODONTITIS, ARACHNODACTYLY, and ACROOSTEOLYSIS.",*Acro-Osteolysis;*Papillon-Lefevre Disease
SUCCINYL-CoA:3-OXOACID CoA TRANSFERASE DEFICIENCY,Succinyl-CoA:3-oxoacid CoA transferase deficiency,C18.452.076.176,D08.811.913.817.200,,,,,,,,,,,,,,,,,,,,,*Acidosis;Coenzyme A-Transferases/*deficiency
KEUTEL SYNDROME,Keutel syndrome,C18.452.174.130,C14.280.484.716,C14.280.955.750,C05.390.408,C05.660.585.988.425,C16.131.621.585.425,C05.182,C17.300.182,C16.131.077,,,,,,,,,,,,,,"*Calcinosis;*Pulmonary Valve Stenosis;*Hand Deformities, Congenital;*Cartilage Diseases;*Abnormalities, Multiple"
ERYTHROCYTE LACTATE TRANSPORTER DEFECT,Erythrocyte Lactate Transporter Defect,C05.651,C10.668.491,D12.776.157.530.450.074.500.400,D12.776.543.585.450.074.500.300,,,,,,,,,,,,,,,,,,mutation in SLC16A1,*Muscular Diseases;Monocarboxylic Acid Transporters/*deficiency
PYRUVATE DEHYDROGENASE E2 DEFICIENCY,Pyruvate Dehydrogenase E2 Deficiency,C18.452.076.176.180,C10.228.140.163.100.750,C10.597.606.643.455.875,C16.320.322.500.875,C16.320.400.525.875,C16.320.565.189.750,C16.320.565.202.810.766,C18.452.132.100.750,C18.452.648.189.750,C18.452.648.202.810.766,C18.452.660.710,,,,,,,,,,,mutation in DLAT,"*Acidosis, Lactic;*Pyruvate Dehydrogenase Complex Deficiency Disease"
PYRUVATE DEHYDROGENASE E3-BINDING PROTEIN DEFICIENCY,Pyruvate Dehydrogenase E3-Binding Protein Deficiency,C18.452.076.176.180,C10.228.140.163.100.750,C10.597.606.643.455.875,C16.320.322.500.875,C16.320.400.525.875,C16.320.565.189.750,C16.320.565.202.810.766,C18.452.132.100.750,C18.452.648.189.750,C18.452.648.202.810.766,C18.452.660.710,,,,,,,,,,,mutation in PDHX,"*Acidosis, Lactic;*Pyruvate Dehydrogenase Complex Deficiency Disease"
MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA),,,,,,,,,,,,,,,,,,,,,,,,
SPECIFIC GRANULE DEFICIENCY,Specific Granule Deficiency,D08.811.277.656.300.760.471,D08.811.277.656.959.350.471,D12.776.157.427.750.249,D12.776.256.626.816.500.507,D12.776.377.457.507,D12.776.395.507,D12.776.556.579.750.249,C15.378.553,,,,,,,,,,,,,,,Lactoferrin/*deficiency;*Leukocyte Disorders
GROWTH HORMONE INSENSITIVITY WITH IMMUNODEFICIENCY,Laron syndrome type 2,C05.116.099.343.679,C16.320.240.750,C19.297.656,,,,,,,,,,,,,,,,,,,,*Laron Syndrome
"MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, CRANIOFACIAL DYSMORPHISM, AND CONGENITAL HEART DEFECTS",,,,,,,,,,,,,,,,,,,,,,,,
LARYNGOONYCHOCUTANEOUS SYNDROME,Laryngo onycho cutaneous syndrome,C11.187,C08.360,C09.400,,,,,,,,,,,,,,,,,,,,*Conjunctival Diseases;*Laryngeal Diseases
3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,C16.320.565.100,C18.452.648.100,D08.811.913.050.134.025,,,,,,,,,,,,,,,,,,,,"*Amino Acid Metabolism, Inborn Errors;Acetyl-CoA C-Acetyltransferase/*deficiency"
"LIPASE DEFICIENCY, COMBINED",Lipase deficiency combined,C16.320.565.398,C18.452.584.562,C18.452.648.398,D08.811.277.352.100.430,,,,,,,,,,,,,,,,,,,"*Lipid Metabolism, Inborn Errors;Lipoprotein Lipase/*deficiency"
CHYLOMICRON RETENTION DISEASE,Chylomicron retention disease,C16.320.565.398.500.440,C18.452.584.500.875.440,C18.452.648.398.500.440,C06.405.469.637,C18.452.603,,,,,,,,,,,,,,,,,A hereditary autosomal recessive disorder characterized by severe fat malabsorption associated with failure to thrive in infancy due to hypobetalipoproteinemia with accumulation of apolipoprotein b-like protein in intestinal cells. Mutations in the SAR1B gene have been identified. OMIM: 246700,*Hypobetalipoproteinemias;*Malabsorption Syndromes
DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY,"Lactic Acidosis, Congenital Infantile, Due To LAD Deficiency",C10.228.140.163.100.520,C16.320.565.100.608,C16.320.565.189.520,C18.452.132.100.520,C18.452.648.100.608,C18.452.648.189.520,C18.452.076.176.180,,,,,,,,,,,,,,,,"*Maple Syrup Urine Disease;*Acidosis, Lactic"
LUTHERAN NULL,,,,,,,,,,,,,,,,,,,,,,,,
"HYPOMAGNESEMIA 5, RENAL, WITH OCULAR INVOLVEMENT","Hypomagnesemia 5, Renal, with Ocular Involvement",C12.777.419.815,C13.351.968.419.815,C16.320.565.861,C18.452.648.861,C11.270,C16.320.290,,,,,,,,,,,,,,,,,"*Renal Tubular Transport, Inborn Errors;*Eye Diseases, Hereditary"
STARGARDT DISEASE 1,Stargardt disease 1,C11.768.585.439,,,,,,,,,,,,,,,,,,,,,"A frequent congenital cause of macular degeneration in childhood with an onset between 7 and 12 years, and rapid progression. Visual acuity is severely reduced but peripheral visual fields remain normal throughout life. In Fundus flavimaculatus, many yellow spots appear,  uniformly distributed over the FUNDUS OCULI and may fade with age. Lesions are distributed in the posterior pole, sometimes with extension to the equator, and with macular involvement. Atrophy of the RETINAL PIGMENT EPITHELIUM, and choroidal vascular atrophy occur; central visual loss, loss of color vision, PHOTOPHOBIA; PARACENTRAL SCOTOMA, are also features. Germline mutations in the ABCA4 gene have been identified. OMIM: 248200",Macular Degeneration/*congenital
